ID,PH1,P1,K1,Ca1,Mg1,Na1,S1,Cu1,Zn1,Bases1,CEC1,OM1,NITR1,AMMON1,PH2,P2,K2,Ca2,Mg2,Na2,S2,Cu2,Zn2,Bases2,CEC2,OM2,CCNIT2,CCCarb2,CN_RATIO2,TOTNIT2,WeedBio2,CCBio2,NITR2,AMMON2,PH3,P3,K3,Ca3,Mg3,Na3,S3,Cu3,Zn3,Bases3,CEC3,OM3,NITR3,AMMON3,LOCATION,GDD_cum,VARIETY,YIELD_OBS,PYIELD_MODEL,VIGOR1,VIGOR2,NDVI_A,NDVI_B,MUSYM
4346,7.91,92.79,731.3,4739.72,991.41,15.68,3.48,5.07,2.55,33.83,21.42,3.2,1.69,0.33,7.84,74.54,627.25,4775,921.31,24.24,8.29,4.89,2.23,33.2,20.33,2.66,1,40.7,40.7,12.92,0,1291.72,0.46,0.38,8.31,79.65,559.26,5211.71,960.28,26.57,6.63,5.32,2.31,35.54,19.27,2.13,0.6,0.33,RRS,9076.5,CL111,5.854781353,4.986739786,4,3,0.761,0.832,Cl
4347,7.77,78.98,605.03,4501.64,1041.89,5.99,1.5,5.33,2.56,32.69,20.9,3,1.09,0.41,7.71,65.76,510.38,4455.19,974.06,27.07,7.91,5.18,2.53,31.75,20.6,2.8,2.3,37.3,16.22,14.85,215.29,645.86,0.69,0.33,8.08,77.89,560.55,4546.07,1046.5,17.79,5.5,5.33,2.51,32.89,20.14,2.57,0.74,0.24,RRS,9076.5,XL753,11.21388594,10.71867115,3,3,0.832,0.864,Cl
4348,7.88,63.53,739.99,4838.05,1001.42,13.07,3.41,5.14,2.38,34.42,21.2,3.1,1.51,0.35,8.1,47.14,554.15,4871.57,964.73,22.65,8.69,5.08,3.29,33.85,20.38,2.69,1.1,38.3,34.82,14.21,0,1291.72,0.52,0.45,7.78,66.62,537.81,4768.42,1011.19,21.01,6.02,5.22,2.19,33.67,20.38,2.69,1.01,0.22,RRS,9076.5,LA2137,8.113608026,7.985306739,3,3,0.8,0.806,Cl
4349,7.91,52.04,543.39,5908.84,771.2,13.29,2.53,4.99,2.13,37.37,20.74,2.9,1.32,0.39,8.12,44.6,470.22,6447.89,749.32,24.46,9.24,4.84,2.03,39.74,20.03,2.51,1.1,39.5,35.91,11.84,0,1076.44,0.43,0.41,7.9,41.4,523.79,6565.95,747.04,15.91,7.34,4.51,1.68,40.41,20.06,2.53,0.63,0.28,RRS,9076.5,JUPITER,9.072644331,8.632341485,5,6,0.81,0.914,Cl
4350,8,47.15,678.54,5458.23,784.52,18.8,2.41,5.31,2.2,35.59,21.42,3.2,1.67,0.44,7.97,41.77,563.4,6452.93,736.72,23.92,11.71,5.36,2.16,39.9,20.19,2.6,2.3,39.2,17.04,19.81,215.29,861.15,0.65,0.52,7.92,34.81,461.91,5686.26,776.34,22.68,6.1,5.19,1.75,36.13,19.46,2.23,0.45,0.23,RRS,9076.5,CL271,7.897285192,6.99409968,4,5,0.475,0.702,Cl
4352,7.47,77.54,664.69,4370.48,1062.46,0.4,2.84,5.06,3.39,32.33,21.33,3.1,1.88,0.38,7.46,75.11,570.88,4242.92,1025.82,20.53,8.31,5.09,2.74,31.24,20.68,2.84,1.5,42.7,28.47,16.15,0,1076.44,0.67,0.36,7.56,59.41,493.38,4414.14,1072.32,18.76,5.22,5.25,2.44,32.28,20.36,2.68,0.45,0.37,RRS,9076.5,LAH10,11.02593213,9.894294298,5,5,0.397,0.773,Cl
4353,7.95,90.71,634.46,4865.11,911.62,9.25,1.89,4.95,2.23,33.52,20.38,2.7,1.57,0.2,7.87,74.84,616.75,5110.54,911.55,26.53,8.55,5.03,2.28,34.78,20.25,2.62,1.1,42,38.18,7.1,0,645.86,0.47,0.35,7.98,82.5,568.57,4774.25,927.27,19.68,5.28,5.13,2.32,33.07,19.59,2.3,0.45,0.13,RRS,9076.5,CL271,7.365707505,5.771284131,5,5,0.416,0.788,Cl
4354,7.84,70.76,709.35,4727.86,931.35,10.1,4.4,4.85,2.29,33.19,21.72,3.4,2.4,0.46,8.09,62.98,561.8,5034.26,873.4,24.05,8.7,5,2.18,33.93,20.68,2.84,1.4,42.1,30.07,0,430.57,0,0.48,0.64,7.89,32.58,441.24,5801.06,894.24,23.28,5.5,4.85,1.4,37.63,18.91,1.96,0.37,0.19,RRS,9076.5,CL151,8.141536548,7.584607113,4,4,0.514,0.762,Cl
4355,7.85,57.36,644.24,4712.41,939.38,14.13,1.79,4.85,2.19,33.03,21.2,3.1,1.61,0.28,7.87,47.36,524.46,4896.58,913.02,25.38,8.68,4.83,2.18,33.48,20.17,2.58,1.4,21.9,15.64,12.06,0,861.15,0.61,0.4,7.9,47.33,514.3,5479.63,905.37,21,6.45,4.69,2.33,36.29,20.08,2.54,0.38,0.22,RRS,9076.5,CL111,6.323369321,5.617110346,5,6,0.644,0.793,Cl
4356,8.01,42.03,722.72,6949.64,698.16,18.51,6.62,4.6,1.91,42.45,21.14,3.1,2.24,0.26,8.17,47.87,575.5,6775.87,687.31,20.72,9.7,4.68,2.02,41.12,20.68,2.84,2.3,30.4,13.22,9.9,215.29,430.57,0.65,0.23,8.03,25.23,457.97,6884.86,700.55,17.38,8.39,4.58,1.99,41.46,19.59,2.3,0.4,0.21,RRS,9076.5,CLXL745,6.909184007,5.662365274,6,6,0.703,0.794,Cl
4357,7.46,107.01,582.84,4332.42,1000.51,37.23,11.33,6.73,2.88,31.58,16.5,3.75,1.6,0.94,7.84,114.38,545.36,4082.91,899.36,27.92,6.23,5.8,3.24,29.36,20.65,2.83,2.3,59.1,25.7,49.52,215.29,2152.87,0.38,0.36,7.59,126.28,630.73,4449.78,1016.85,4.81,4.7,5.31,3.38,32.29,21.06,3,1.64,0.37,RRS,9076.5,CL152,8.072704957,7.190992189,5,5,0.635,0.789,Cl
4358,7.79,90.03,523.78,4461.93,1018.73,44.45,11.08,6.66,2.28,32.26,14.95,2.98,0.82,0.8,7.8,81.63,479.31,4026.8,904.86,23.19,6.59,5.49,2.92,28.94,20.65,2.83,1.4,41,29.29,9.04,0,645.86,0.23,0.38,7.53,77.73,646.68,4393,1043.73,8.81,3.63,5.15,2.41,32.28,21.2,3.1,2.07,0.36,RRS,9076.5,XL753,10.77942944,9.085867631,5,5,0.698,0.797,Cl
4359,7.88,106.47,610.51,4940.52,940.07,50.32,13.2,7,2.39,34.25,14.52,2.76,1,0.71,8.05,83.06,482.58,4953.58,861.31,28.98,8.63,5.71,2.6,33.25,19.62,2.31,2.3,59.5,25.87,59.42,0,2583.45,0.24,0.42,7.78,81.84,512.63,4986.47,889.57,7.7,2.38,5.05,2.39,33.63,19.95,2.5,1.8,0.44,RRS,9076.5,MERMENTAU,7.659580202,7.161753802,5,6,0.727,0.78,Cl
4361,7.96,95.09,531.25,4957.65,1011.68,45.5,10.69,7.36,2.39,34.71,14.93,2.96,0.76,0.77,8.14,67.67,480.44,4475.15,909.63,32.67,7.83,5.79,2.37,31.26,20.27,2.64,2.67,37.18,13.95,45.92,430.57,1722.3,0.36,0.4,7.93,68.35,600.35,4854.92,1004.87,3.1,3.83,5.24,2.58,34.13,20.19,2.6,1.78,0.44,RRS,9076.5,JUPITER,8.865512399,7.77868203,5,5,0.749,0.824,Cl
4366,7.9,98.65,560.24,4824.24,1026.38,59.93,11.65,7.61,2.4,34.3,14.95,2.98,0.68,0.64,8.08,72.01,459.74,4411.89,877.47,26.14,7.14,5.5,2.32,30.6,20.19,2.6,1.9,39.26,20.66,16.36,215.29,861.15,0.25,0.38,7.93,73.23,663.59,4499.65,1018.74,8.67,1.79,5.2,3.5,32.65,20.52,2.8,1.45,0.34,RRS,9076.5,CL111,7.563733721,6.452505104,4,4,0.741,0.806,Cl
4367,8,122.98,535.85,5039.74,886.77,59.71,11.36,7.31,2.35,34.16,14.52,2.76,0.66,0.64,8,107.58,512,4699.48,828.69,25.82,8.58,5.8,2.67,31.77,20.3,2.65,3.4,55.9,16.44,36.6,430.57,1076.44,0.29,0.57,8.02,95.26,537.26,4876.86,858.41,3.62,2.17,5.28,2.43,32.87,19.98,2.5,1.41,0.27,RRS,9076.5,MERMENTAU,8.344186265,8.572719548,5,6,0.703,0.803,Cl
4369,7.9,106.63,603.48,5175.8,1014.29,45.53,12,9.6,2.45,36,15.06,3.03,0.84,0.69,8.12,88.03,520.45,4390.62,845.66,20.51,8.48,5.91,2.45,30.36,20.87,2.94,1.97,39.97,20.29,12.73,0,645.86,0.27,0.38,8.14,105.81,701.07,4559.84,953.57,1.7,1.61,5.67,2.78,32.48,20.27,2.6,0.82,0.66,RRS,9076.5,CL151,7.918594035,7.412189927,5,5,0.755,0.824,Cl
4370,7.3,84.18,694.04,4367.99,1051.66,37.36,11.53,7.46,2.54,32.47,15.14,3.07,1.25,1.01,7.78,75.22,506.98,4199.74,918.4,27.62,8.36,5.76,3.45,30.01,21.04,3.02,2.84,38.77,13.65,61.13,430.57,2152.87,0.36,0.38,7.38,69.49,676.83,4058.79,980.01,22.18,1.59,5.28,2.77,30.22,20.65,2.8,1.83,0.38,RRS,9076.5,CL152,7.797487164,7.061401202,5,5,0.763,0.829,Cl
4371,7.84,88.49,560.75,4783.05,1031.3,43,12.04,6.93,2.43,34.06,15.61,3.3,2.47,1.28,7.98,103.1,514.89,4422.33,885.54,20.72,7.79,5.36,2.69,30.84,21.09,3.04,2.6,63.6,24.46,33.58,0,1291.72,0.26,0.36,7.84,72.22,645.96,4895.78,1004.6,8.27,4.95,5.11,2.25,34.47,20.74,2.9,1.76,0.34,RRS,9076.5,CLXL745,10.20005756,9.617271703,5,5,0.763,0.859,Cl
4372,7.94,128.21,572.34,5131.68,955.4,42.42,12.85,7.01,2.39,35.2,15.12,3.06,0.91,0.61,8.19,70.78,488.98,4687.56,825.1,23.54,7.93,5.16,2.8,31.61,20.27,2.64,1.96,40.62,20.69,29.58,0,1507.01,0.4,0.46,7.91,92.79,731.3,4739.72,991.41,15.68,3.48,5.07,2.55,33.83,21.42,3.2,1.69,0.33,RRS,9076.5,LAH10,9.843970279,9.678346113,4,4,0.717,0.817,Cl
4373,7.78,87.2,479.04,4572.87,980.97,35.55,8.64,6.83,2.23,32.35,14.93,2.96,1.12,0.57,8.02,53.36,437,4016.08,846.88,26.2,5.85,5.07,2.1,28.31,20.38,2.69,3.24,39.75,12.27,90.64,0,2798.74,0.16,0.37,7.75,74.98,602.38,4481.63,1052.64,9.17,1.72,5.36,2.41,32.69,20.87,2.9,1.31,0.54,RRS,9076.5,JUPITER,8.806767921,8.762295344,5,5,0.78,0.826,Cl
4374,7.71,76.68,544.53,4422.64,974.94,41.84,9.52,6.85,2.37,31.75,16.2,3.6,1.3,0.2,7.85,73.3,467.42,4006.12,877.7,23.85,7.29,5.4,2.59,28.58,21.42,3.21,3.09,38.31,12.39,39.94,861.15,1291.72,0.55,0.37,7.77,78.98,605.03,4501.64,1041.89,5.99,1.5,5.33,2.56,32.69,20.9,3,1.09,0.41,RRS,9076.5,XL753,10.70725549,9.476992376,4,4,0.785,0.804,Cl
4375,7.96,81.71,562.4,4598.16,1007.11,34.84,9.87,7.01,2.36,32.9,15.99,3.49,1.39,0.18,8.14,57.22,447.13,4309.2,800.03,24.41,7.62,4.96,2.3,29.41,20.98,2.99,1.55,38.89,25.14,19.98,0,1291.72,0.32,0.34,7.88,63.53,739.99,4838.05,1001.42,13.07,3.41,5.14,2.38,34.42,21.2,3.1,1.51,0.35,RRS,9076.5,CL271,7.088604056,6.517220848,5,6,0.784,0.839,Cl
4377,8.02,63.69,534.26,6567.98,791.19,33.19,10.58,6.41,2.61,40.89,15.17,3.09,1.09,0.67,8.06,59.24,421.22,5249.95,642.94,20.53,6.64,4.51,2.03,32.73,20.41,2.71,2.7,64.4,23.85,69.75,0,2583.45,0.24,0.37,8.1,50.43,565.38,6330.16,746.2,10.27,4.67,4.61,1.82,39.31,20.03,2.5,1.06,0.34,RRS,9076.5,CL271,7.578023373,6.488999869,4,3,0.783,0.84,Cl
4379,8.08,51.81,547.61,6624.02,760.35,33.49,10.87,6.19,2.2,40.95,15.82,3.41,1.36,1.06,8.11,58.95,449.63,5182.4,679.3,23.32,7.79,4.94,2.07,32.78,20.68,2.84,2.18,38.31,17.61,14.05,0,645.86,0.33,0.48,7.91,52.04,543.39,5908.84,771.2,13.29,2.53,4.99,2.13,37.37,20.74,2.9,1.32,0.39,RRS,9076.5,LAH10,10.69156162,9.73474468,5,5,0.798,0.807,Cl
4382,8.14,49.65,587.29,6842.38,791.55,33.88,11.61,7.69,2.3,42.4,16.34,3.67,1.38,0.86,8.1,40.5,444.75,4921.66,713.63,23.08,8.15,5.43,2.08,31.74,20.79,2.9,3.53,38.94,11.03,53.22,430.57,1507.01,0.3,0.49,8,47.15,678.54,5458.23,784.52,18.8,2.41,5.31,2.2,35.59,21.42,3.2,1.67,0.44,RRS,9076.5,JUPITER,8.818817938,8.113079917,5,4,0.808,0.843,Cl
4383,7.92,95.05,593.85,5217.09,890.58,40.9,10.84,8.31,2.36,35.14,15.58,3.29,1.16,0.6,8.01,43.53,391.12,3978.23,781.19,24.8,6.05,5.71,2.03,27.46,20.49,2.75,2.8,63.1,22.54,18.08,0,645.86,0.2,0.43,7.7,49.6,563.37,4711.22,920.48,5.64,1.83,5.76,2.12,32.63,20.85,2.9,1.57,0.46,RRS,9076.5,CL151,8.522372393,8.118469455,5,5,0.789,0.828,Cl
4384,7.6,96.26,567.86,4600.56,1087.82,40.16,11.24,7.29,2.81,33.62,16.59,3.79,0.99,0.65,7.72,76.51,449.77,3702.52,848.98,26.51,6.05,4.84,2.72,26.79,21.47,3.24,1.55,41.49,26.72,10.03,0,645.86,0.3,0.63,7.47,77.54,664.69,4370.48,1062.46,0.4,2.84,5.06,3.39,32.33,21.33,3.1,1.88,0.38,RRS,9076.5,MERMENTAU,8.052362682,7.685842368,5,5,0.793,0.85,Cl
